 

stn;time;rka150d0
NEU;20140209;0.3
NEU;20140210;1.0
NEU;20140211;1.1
NEU;20140212;0.0
NEU;20140213;15.4
NEU;20140214;0.7
NEU;20140215;16.4
NEU;20140216;3.4
NEU;20140217;0.0
NEU;20140218;0.0
NEU;20140219;0.1
NEU;20140220;1.6
NEU;20140221;4.5
NEU;20140222;5.7
NEU;20140223;0.0
NEU;20140224;0.0
NEU;20140225;0.5
NEU;20140226;11.5
NEU;20140227;1.7
NEU;20140228;2.9
NEU;20140301;0.3
NEU;20140302;0.0
NEU;20140303;3.9
NEU;20140304;3.2
NEU;20140305;0.0
