 

stn;time;tre200d0;qtre200d0;mtre200d0
CRM;20160223;6.5;0;0
CRM;20160224;0.3;0;-1
CRM;20160225;2.2;0;0
CRM;20160226;1.9;0;0
CRM;20160227;2.5;0;0
CRM;20160228;4.2;0;0
CRM;20160229;3.6;0;0
CRM;20160301;4.6;0;0
CRM;20160302;4.8;0;0
CRM;20160303;2.3;0;0
CRM;20160304;2.2;0;0
CRM;20160305;2.5;0;0
CRM;20160306;2.3;0;0
CRM;20160307;1.0;0;0
CRM;20160308;1.7;0;0
CRM;20160309;1.3;0;0
CRM;20160310;4.1;0;0
CRM;20160311;6.3;0;0
CRM;20160312;6.3;0;0
CRM;20160313;5.8;0;0
CRM;20160314;4.9;0;0
CRM;20160315;3.1;0;0
CRM;20160316;3.7;0;0
CRM;20160317;5.6;0;0
CRM;20160318;6.1;0;0
CRM;20160319;6.8;0;0
CRM;20160320;5.8;0;0
CRM;20160321;5.2;0;0
CRM;20160322;6.7;0;0
CRM;20160323;5.4;0;0
CRM;20160324;7.1;0;-1
CRM;20160325;6.3;0;0
CRM;20160326;8.5;0;0
CRM;20160327;5.9;0;0
CRM;20160328;7.8;0;-7
CRM;20160329;10.7;0;0
CRM;20160330;12.1;0;-1
CRM;20160331;11.0;0;0
CRM;20160401;11.5;0;0
CRM;20160402;10.0;0;0
CRM;20160403;11.6;0;0
CRM;20160404;12.1;0;0
CRM;20160405;11.1;0;0
CRM;20160406;11.0;0;0
CRM;20160407;8.7;0;0
CRM;20160408;6.7;0;0
CRM;20160409;6.7;0;0
CRM;20160410;9.2;0;-1
CRM;20160411;10.4;0;0
CRM;20160412;12.5;0;0
CRM;20160413;9.6;0;0
CRM;20160414;10.9;0;-1
CRM;20160415;10.7;0;0
CRM;20160416;12.3;0;0
CRM;20160417;9.3;0;0
CRM;20160418;6.0;0;0
CRM;20160419;8.6;0;0
CRM;20160420;12.1;0;0
CRM;20160421;13.3;0;0
CRM;20160422;14.1;0;0
CRM;20160423;9.8;0;0
CRM;20160424;5.4;0;0
CRM;20160425;5.2;0;0
CRM;20160426;6.7;0;-10
CRM;20160427;3.9;0;-13
CRM;20160428;5.6;0;0
CRM;20160429;8.1;0;0
CRM;20160430;8.0;0;0
CRM;20160501;6.6;0;0
CRM;20160502;10.5;0;0
CRM;20160503;9.6;0;-1
CRM;20160504;10.2;0;0
CRM;20160505;12.7;0;0
CRM;20160506;13.6;0;-1
CRM;20160507;15.2;0;0
CRM;20160508;15.9;0;-12
CRM;20160509;16.3;0;0
CRM;20160510;17.4;0;-24
CRM;20160511;15.7;0;0
CRM;20160512;11.7;0;0
